Currency,Price,Boat Type,Manufacturer,Type,Year Built,Material,Location,Number of views last 7 days,Country
CHF ,15500,Center console boat,Seagull power boats,"Used boat,Unleaded",2006,GRP,Switzerland » Lake Geneva » au chantier,151,Switzerland
EUR ,14200,Sport Boat,Romar power boats,new boat from stock,2019,GRP,Switzerland » Diessenhoen,285,Switzerland
EUR ,14000,Sport Boat,Gobbi power boats,Used boat,1997,GRP,Italy » Veneto » Venezia,281,Italy
EUR ,14000,Sport Boat,Gobbi power boats,"Used boat,Unleaded",1990,GRP,Italy,132,Italy
EUR ,14000,Cabin Boat,SAS-Vektor power boats,"Used boat,Unleaded",2008,GRP,Croatia (Hrvatska) » Biograd,118,Croatia (Hrvatska)
EUR ,14900,Sport Boat,Marinello power boats,"new boat from stock,Unleaded",2014,GRP,Germany » Stadtprozelten,156,Germany
EUR ,14900,Motor Yacht,Sea Ray power boats,"Used boat,Unleaded",1983,GRP,Croatia (Hrvatska) » Istra,111,Croatia (Hrvatska)
EUR ,14900,Pontoon Boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,GRP,Italy » Dormelletto ,87,Italy
EUR ,14900,Fishing Boat,Vizion power boats,new boat from stock,2019,Aluminium,Germany » Berlin » Berlin,70,Germany
EUR ,14900,Flybridge,Draco power boats,"Used boat,Diesel",1980,GRP,Italy » Friuli Venezia Giulia » Lignano Sabbiadoro ,356,Italy
EUR ,14900,Cabin Boat,Hilter power boats,"Used boat,Unleaded",1984,GRP,Germany » Bayern » Regensburg,198,Germany
EUR ,14900,Deck Boat,Jeanneau power boats,"Used boat,Unleaded",2017,PVC,France,68,France
EUR ,14900,Pontoon Boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,GRP,Switzerland » Lugano ,80,Switzerland
EUR ,14900,Cabin Boat,Jeanneau power boats,"Used boat,Unleaded",2002,GRP,Germany » 25488 Holm,180,Germany
EUR ,15500,Cabin Boat,Seaswirl power boats,"Used boat,Unleaded",1995,GRP,Germany » Genthin,145,Germany
EUR ,15500,Sport Boat,Fjord Plast power boats,"Used boat,Unleaded",1979,GRP,Austria » Linz,125,Austria
EUR ,15500,"Motor Yacht,Sport Boat",Scand power boats,"Used boat,Unleaded",1993,GRP,Austria » Donau » 4082 Aschach an der Donau,236,Austria
EUR ,15500,Trawler,Hoekstra power boats,Used boat,1976,Steel,Netherlands » In verkoophaven,253,Netherlands
EUR ,15500,Trawler,SkilsÃ¶ power boats,"Used boat,Diesel",1979,GRP,Germany » Niedersachsen » Idensen ,311,Germany
EUR ,15499,Cabin Boat,Quicksilver (Brunswick Marine) power boats,new boat from stock,2020,GRP,Germany » Kieler Bucht mit Fehmarn » Kiel,219,Germany
